"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
" eslint-disable max-statements","1240","should be able to navigate to Shopping Cart Screen and clear all exisiting items (if there are any) in the cart","","Tue Feb 25 14:26:19 EST 2025","passed","Tue Feb 25 14:26:20 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
" eslint-disable max-statements","25110","should be able to set shopping mode to Pickup mode and select a valid store","","Tue Feb 25 14:27:54 EST 2025","passed","Tue Feb 25 14:28:19 EST 2025","","Cart flow - Pickup","",""
" eslint-disable max-statements","13224","should be able to set shopping mode to Delivery mode and select a valid store","","Tue Feb 25 14:29:30 EST 2025","passed","Tue Feb 25 14:29:43 EST 2025","","Cart flow - Delivery","",""
"","7041","should show promotions when navigating from more screen","","Tue Feb 25 14:23:53 EST 2025","passed","Tue Feb 25 14:24:00 EST 2025","Guest user navigates to online promotions after setting ""Pickup"" mode","Online Promotions Navigation Suite","",""
"","2605","should see Products tab and be able to tap it","","Tue Feb 25 14:33:15 EST 2025","passed","Tue Feb 25 14:33:17 EST 2025","","Search for product as guest","",""
" eslint-disable max-statements","1307","tap on online promotion quick link","","Tue Feb 25 14:32:20 EST 2025","passed","Tue Feb 25 14:32:21 EST 2025","","Online Promotion - Planning List","",""
" eslint-disable max-statements","5799","should be able to logout from the (User) Account Screen","","Tue Feb 25 14:27:22 EST 2025","passed","Tue Feb 25 14:27:27 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
"","4571","should show the Onboarding Screen and eventually `skip` it","","Tue Feb 25 14:32:30 EST 2025","passed","Tue Feb 25 14:32:34 EST 2025","","Authentication","",""
" eslint-disable max-statements","7379","should be able to go back to the Shopping Cart screen, clear all items in the cart, and then go back to Home Screen","","Tue Feb 25 14:27:14 EST 2025","passed","Tue Feb 25 14:27:22 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
"","3884","should be able to logout from the (User) Account Screen","","Tue Feb 25 14:32:53 EST 2025","passed","Tue Feb 25 14:32:57 EST 2025","","Authentication","",""
" eslint-disable max-statements","1219","should be able to navigate to Shopping List Screen and clear all exisiting items (if there are any) in the list","","Tue Feb 25 14:31:10 EST 2025","passed","Tue Feb 25 14:31:11 EST 2025","","Cart flow - Planning List","",""
" eslint-disable max-statements","1281","should be able to navigate to Shopping Cart Screen, count the items in the cart and compare total price","","Tue Feb 25 14:26:48 EST 2025","passed","Tue Feb 25 14:26:49 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
"","41630","should be able to view online promotions when navigating from home screen","","Tue Feb 25 14:24:00 EST 2025","passed","Tue Feb 25 14:24:42 EST 2025","Authorized user navigates to online promotions after loginning","Online Promotions Navigation Suite","",""
" eslint-disable max-statements","18641","should be able to login (from the Debug Screen)","","Tue Feb 25 14:27:35 EST 2025","passed","Tue Feb 25 14:27:54 EST 2025","","Cart flow - Pickup","",""
" eslint-disable max-statements","22363","should be able to login (from the Debug Screen)","","Tue Feb 25 14:29:04 EST 2025","passed","Tue Feb 25 14:29:26 EST 2025","","Cart flow - Delivery","",""
" eslint-disable max-statements","25777","should be able to navigate to Shop Aisles (Department Listing) Screen and add 3 items (1 item per Category) in the Shopping Cart","","Tue Feb 25 14:28:20 EST 2025","passed","Tue Feb 25 14:28:46 EST 2025","","Cart flow - Pickup","",""
"","3801","should see TextInput Field and be able to type in it","","Tue Feb 25 14:33:17 EST 2025","passed","Tue Feb 25 14:33:21 EST 2025","","Search for product as guest","",""
" eslint-disable max-statements","4469","should show the Onboarding Screen and eventually `skip` it","","Tue Feb 25 14:27:31 EST 2025","passed","Tue Feb 25 14:27:35 EST 2025","","Cart flow - Pickup","",""
"","13337","should be able to navigate to recipe search tab, search recipe, go to details, back to Home","","Tue Feb 25 14:33:42 EST 2025","passed","Tue Feb 25 14:33:56 EST 2025","","Search recipe","",""
" eslint-disable max-statements","10416","should be able to navigate to Shopping List Screen, count the items in the list, check 2 out of 3 items, then finally remove all the items in the list","","Tue Feb 25 14:31:38 EST 2025","passed","Tue Feb 25 14:31:48 EST 2025","","Cart flow - Planning List","",""
" eslint-disable max-statements","206","if there is no timeslot then ""No Timeslots"" message show up and ""Continue"" button is disabled","","Tue Feb 25 14:27:00 EST 2025","passed","Tue Feb 25 14:27:00 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
"","2298","should see pills and be able to tap on it","","Tue Feb 25 14:33:27 EST 2025","passed","Tue Feb 25 14:33:29 EST 2025","","Search for product as guest","",""
" eslint-disable max-statements","1114","Verify that online promotions is loaded and go back to home screen","","Tue Feb 25 14:32:21 EST 2025","passed","Tue Feb 25 14:32:22 EST 2025","","Online Promotion - Planning List","",""
"","2243","should see a search all button and be able to tap on it","","Tue Feb 25 14:33:24 EST 2025","passed","Tue Feb 25 14:33:26 EST 2025","","Search for product as guest","",""
"","19","should see the search result page with product cards","","Tue Feb 25 14:33:26 EST 2025","passed","Tue Feb 25 14:33:26 EST 2025","","Search for product as guest","",""
"","2591","it should be able to tap on the first item card to see product details page","","Tue Feb 25 14:33:21 EST 2025","passed","Tue Feb 25 14:33:24 EST 2025","","Search for product as guest","",""
"","8584","should fail when trying to login with invalid credentials (from the Debug Screen)","","Tue Feb 25 14:32:57 EST 2025","passed","Tue Feb 25 14:33:06 EST 2025","","Authentication","",""
"","1082","should open search product/recipe screen","","Tue Feb 25 14:33:13 EST 2025","passed","Tue Feb 25 14:33:14 EST 2025","","Search for product as guest","",""
" eslint-disable max-statements","4394","should show the Onboarding Screen and eventually `skip` it","","Tue Feb 25 14:30:23 EST 2025","passed","Tue Feb 25 14:30:28 EST 2025","","Cart flow - Planning List","",""
" eslint-disable max-statements","6229","should be able to press ""Continue to Checkout"" button, if the Interim Checkout Screen shows up","","Tue Feb 25 14:26:49 EST 2025","passed","Tue Feb 25 14:26:56 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
" eslint-disable max-statements","4389","should be able to navigate to Shopping Cart Screen, count the items in the cart, compare total price, then finally remove all the items in the cart","","Tue Feb 25 14:28:46 EST 2025","passed","Tue Feb 25 14:28:51 EST 2025","","Cart flow - Pickup","",""
" eslint-disable max-statements","1452","should be able to navigate to Shopping Cart Screen and clear all exisiting items (if there are any) in the cart","","Tue Feb 25 14:28:19 EST 2025","passed","Tue Feb 25 14:28:20 EST 2025","","Cart flow - Pickup","",""
" eslint-disable max-statements","19004","should be able to set shopping mode to Delivery mode and select a valid store","","Tue Feb 25 14:25:59 EST 2025","passed","Tue Feb 25 14:26:18 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
" eslint-disable max-statements","3389","should be able to release/clear timeslot","","Tue Feb 25 14:29:26 EST 2025","passed","Tue Feb 25 14:29:30 EST 2025","","Cart flow - Delivery","",""
" eslint-disable max-statements","1231","should be able to navigate to Shopping Cart Screen and clear all exisiting items (if there are any) in the cart","","Tue Feb 25 14:29:43 EST 2025","passed","Tue Feb 25 14:29:44 EST 2025","","Cart flow - Delivery","",""
" eslint-disable max-statements","22562","should be able to set shopping mode to In-Store (Planning) mode and select a valid store","","Tue Feb 25 14:30:47 EST 2025","passed","Tue Feb 25 14:31:10 EST 2025","","Cart flow - Planning List","",""
" eslint-disable max-statements","26218","should be able to navigate to Shop Aisles (Department Listing) Screen and add 3 items (1 item per Category) in the Shopping Cart","","Tue Feb 25 14:29:44 EST 2025","passed","Tue Feb 25 14:30:10 EST 2025","","Cart flow - Delivery","",""
" eslint-disable max-statements","4910","should be able to logout from the (User) Account Screen","","Tue Feb 25 14:31:48 EST 2025","passed","Tue Feb 25 14:31:53 EST 2025","","Cart flow - Planning List","",""
" eslint-disable max-statements","19266","should be able to login (from the Debug Screen)","","Tue Feb 25 14:30:28 EST 2025","passed","Tue Feb 25 14:30:47 EST 2025","","Cart flow - Planning List","",""
"","24957","should show promotions when navigating from home screen","","Tue Feb 25 14:23:28 EST 2025","passed","Tue Feb 25 14:23:53 EST 2025","Guest user navigates to online promotions after setting ""Pickup"" mode","Online Promotions Navigation Suite","",""
" eslint-disable max-statements","26548","should be able to navigate to Shop Aisles (Department Listing) Screen and add 3 items (1 item per Category) in the Planning List","","Tue Feb 25 14:31:11 EST 2025","passed","Tue Feb 25 14:31:38 EST 2025","","Cart flow - Planning List","",""
" eslint-disable max-statements","19079","should be able to login (from the Debug Screen)","","Tue Feb 25 14:25:40 EST 2025","passed","Tue Feb 25 14:25:59 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
"","4477","should show the Onboarding Screen and eventually `skip` it","","Tue Feb 25 14:23:17 EST 2025","passed","Tue Feb 25 14:23:21 EST 2025","","Online Promotions Navigation Suite","",""
" eslint-disable max-statements","5054","should be able to logout from the (User) Account Screen","","Tue Feb 25 14:30:15 EST 2025","passed","Tue Feb 25 14:30:20 EST 2025","","Cart flow - Delivery","",""
" eslint-disable max-statements","315","Select planning mode if its not planning mode","","Tue Feb 25 14:32:20 EST 2025","passed","Tue Feb 25 14:32:20 EST 2025","","Online Promotion - Planning List","",""
" eslint-disable max-statements","3846","logout from account screen","","Tue Feb 25 14:32:23 EST 2025","passed","Tue Feb 25 14:32:26 EST 2025","","Online Promotion - Planning List","",""
" eslint-disable max-statements","14195","if there is/are timeslots for the selected day, then select the very first available timeslot, it should show the notification that the timeslot is reserved and the ""Continue"" buttons should be enabled","","Tue Feb 25 14:27:00 EST 2025","passed","Tue Feb 25 14:27:14 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
"","18909","should be able to login","","Tue Feb 25 14:32:34 EST 2025","passed","Tue Feb 25 14:32:53 EST 2025","","Authentication","",""
" eslint-disable max-statements","5098","should be able to logout from the (User) Account Screen","","Tue Feb 25 14:28:51 EST 2025","passed","Tue Feb 25 14:28:56 EST 2025","","Cart flow - Pickup","",""
"","50414","should be able to view online promotions when navigating from more screen","","Tue Feb 25 14:24:42 EST 2025","passed","Tue Feb 25 14:25:32 EST 2025","Authorized user navigates to online promotions after loginning","Online Promotions Navigation Suite","",""
" eslint-disable max-statements","3877","should be able to press the ""OK"" (if the Substitution Alert box shows up), and then press ""Continue"" to show the Timeslot selection screen","","Tue Feb 25 14:26:56 EST 2025","passed","Tue Feb 25 14:26:59 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
"","12","should see filter and sort components","","Tue Feb 25 14:33:29 EST 2025","passed","Tue Feb 25 14:33:29 EST 2025","","Search for product as guest","",""
"","9","should see the search preview list containing item cards","","Tue Feb 25 14:33:21 EST 2025","passed","Tue Feb 25 14:33:21 EST 2025","","Search for product as guest","",""
" eslint-disable max-statements","4436","should be able to navigate to Shopping Cart Screen, count the items in the cart, compare total price, then finally remove all the items in the cart","","Tue Feb 25 14:30:11 EST 2025","passed","Tue Feb 25 14:30:15 EST 2025","","Cart flow - Delivery","",""
" eslint-disable max-statements","4347","should show on boarding screen and skip","","Tue Feb 25 14:31:56 EST 2025","passed","Tue Feb 25 14:32:01 EST 2025","","Online Promotion - Planning List","",""
"","2387","should be able to go back to Home screen","","Tue Feb 25 14:33:32 EST 2025","passed","Tue Feb 25 14:33:35 EST 2025","","Search for product as guest","",""
" eslint-disable max-statements","18809","login from debug screen if user is not logged","","Tue Feb 25 14:32:01 EST 2025","passed","Tue Feb 25 14:32:20 EST 2025","","Online Promotion - Planning List","",""
" eslint-disable max-statements","4530","should show the Onboarding Screen and eventually `skip` it","","Tue Feb 25 14:25:36 EST 2025","passed","Tue Feb 25 14:25:40 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
"","4486","should show the Onboarding Screen and eventually `skip` it","","Tue Feb 25 14:33:09 EST 2025","passed","Tue Feb 25 14:33:13 EST 2025","","Search for product as guest","",""
"","2887","it should be able to tap on the second item card to see product details page","","Tue Feb 25 14:33:29 EST 2025","passed","Tue Feb 25 14:33:32 EST 2025","","Search for product as guest","",""
" eslint-disable max-statements","4646","should show the Onboarding Screen and eventually `skip` it","","Tue Feb 25 14:28:59 EST 2025","passed","Tue Feb 25 14:29:04 EST 2025","","Cart flow - Delivery","",""
"","4267","should show empty list of promotion products when navigating from more screen","","Tue Feb 25 14:23:24 EST 2025","passed","Tue Feb 25 14:23:28 EST 2025","Guest user navigates to online promotions screen without selecting ""Pickup"" mode and without selecting a Store","Online Promotions Navigation Suite","",""
"","2667","should show the ""Select Your Store"" screen when navigating from home screen","","Tue Feb 25 14:23:21 EST 2025","passed","Tue Feb 25 14:23:24 EST 2025","Guest user navigates to online promotions screen without selecting ""Pickup"" mode and without selecting a Store","Online Promotions Navigation Suite","",""
" eslint-disable max-statements","28131","should be able to navigate to Shop Aisles (Department Listing) Screen and add 3 items (1 item per Category) in the Shopping Cart","","Tue Feb 25 14:26:20 EST 2025","passed","Tue Feb 25 14:26:48 EST 2025","","Select Timeslot - Inside Checkout flow - Delivery mode","",""
"","4438","should show the Onboarding Screen and eventually skip it","","Tue Feb 25 14:33:38 EST 2025","passed","Tue Feb 25 14:33:42 EST 2025","","Search recipe","",""
